/home/bugra/anaconda3/envs/bugra/lib/python3.9/site-packages/scipy/__init__.py:146: UserWarning: A NumPy version >=1.16.5 and <1.23.0 is required for this version of SciPy (detected version 1.24.2
  warnings.warn(f"A NumPy version >={np_minversion} and <{np_maxversion}"
DIRECTORY ALREADY EXISTS, continuing
[-38 -37 -36 -35 -34 -26 -25 -24 -23 -22 -14 -13 -12 -11 -10  -2  -1]
Creating input and output tensors...
Creating handle...
Loading data to memory...
Model initializing: Training starting...
Epoch: 0, Train Loss: 0.116899, Val Loss: 0.101533, Time: 673.73
Epoch: 1, Train Loss: 0.103288, Val Loss: 0.098094, Time: 669.57
Epoch: 2, Train Loss: 0.103324, Val Loss: 0.097633, Time: 669.09
Epoch: 3, Train Loss: 0.103134, Val Loss: 0.095547, Time: 668.30
Epoch: 4, Train Loss: 0.102510, Val Loss: 0.093377, Time: 665.12
Epoch: 5, Train Loss: 0.101584, Val Loss: 0.094402, Time: 661.82
Epoch: 6, Train Loss: 0.101437, Val Loss: 0.100613, Time: 659.91
Epoch: 7, Train Loss: 0.101968, Val Loss: 0.096345, Time: 659.13
Epoch: 8, Train Loss: 0.101331, Val Loss: 0.093894, Time: 658.38
Epoch: 9, Train Loss: 0.101627, Val Loss: 0.095623, Time: 657.34
Epoch: 10, Train Loss: 0.101713, Val Loss: 0.095041, Time: 656.82
Epoch: 11, Train Loss: 0.101418, Val Loss: 0.120378, Time: 656.95
Epoch: 12, Train Loss: 0.101220, Val Loss: 0.099967, Time: 656.61
Epoch: 13, Train Loss: 0.100964, Val Loss: 0.099758, Time: 656.38
Epoch: 14, Train Loss: 0.100730, Val Loss: 0.104417, Time: 656.51
Epoch: 15, Train Loss: 0.101473, Val Loss: 0.092767, Time: 657.25
Epoch: 16, Train Loss: 0.101385, Val Loss: 0.101391, Time: 657.30
Epoch: 17, Train Loss: 0.101096, Val Loss: 0.095309, Time: 658.26
Epoch: 18, Train Loss: 0.101421, Val Loss: 0.094052, Time: 659.04
Epoch: 19, Train Loss: 0.101254, Val Loss: 0.103203, Time: 659.90
Epoch: 20, Train Loss: 0.101401, Val Loss: 0.097626, Time: 660.36
Epoch: 21, Train Loss: 0.101215, Val Loss: 0.099320, Time: 663.71
Epoch: 22, Train Loss: 0.101374, Val Loss: 0.130949, Time: 664.61
Epoch: 23, Train Loss: 0.100938, Val Loss: 0.095888, Time: 665.51
Epoch: 24, Train Loss: 0.101337, Val Loss: 0.092997, Time: 665.92
Epoch: 25, Train Loss: 0.101082, Val Loss: 0.095065, Time: 665.66
Epoch: 26, Train Loss: 0.101256, Val Loss: 0.100452, Time: 665.67
Epoch: 27, Train Loss: 0.101278, Val Loss: 0.095380, Time: 665.78
Epoch: 28, Train Loss: 0.101047, Val Loss: 0.099011, Time: 665.92
Epoch: 29, Train Loss: 0.101284, Val Loss: 0.096269, Time: 665.83
Epoch: 30, Train Loss: 0.100850, Val Loss: 0.093201, Time: 665.07
Epoch: 31, Train Loss: 0.100991, Val Loss: 0.095673, Time: 666.43
Epoch: 32, Train Loss: 0.101017, Val Loss: 0.095155, Time: 665.65
Epoch: 33, Train Loss: 0.100740, Val Loss: 0.092308, Time: 666.04
Epoch: 34, Train Loss: 0.100260, Val Loss: 0.094497, Time: 666.32
Epoch: 35, Train Loss: 0.100765, Val Loss: 0.097956, Time: 666.08
Epoch: 36, Train Loss: 0.100325, Val Loss: 0.098728, Time: 663.90
Epoch: 37, Train Loss: 0.100655, Val Loss: 0.093335, Time: 660.18
Epoch: 38, Train Loss: 0.100305, Val Loss: 0.096856, Time: 659.27
Epoch: 39, Train Loss: 0.100370, Val Loss: 0.093313, Time: 659.54
Epoch: 40, Train Loss: 0.100517, Val Loss: 0.095276, Time: 658.92
Epoch: 41, Train Loss: 0.100042, Val Loss: 0.094304, Time: 659.41
Epoch: 42, Train Loss: 0.100601, Val Loss: 0.114846, Time: 659.59
Epoch: 43, Train Loss: 0.100237, Val Loss: 0.093594, Time: 658.75
Epoch: 44, Train Loss: 0.099987, Val Loss: 0.098369, Time: 658.81
Epoch: 45, Train Loss: 0.099705, Val Loss: 0.091391, Time: 657.98
Epoch: 46, Train Loss: 0.099830, Val Loss: 0.091511, Time: 658.46
Epoch: 47, Train Loss: 0.100128, Val Loss: 0.092711, Time: 658.50
Epoch: 48, Train Loss: 0.099848, Val Loss: 0.104543, Time: 658.47
Epoch: 49, Train Loss: 0.099643, Val Loss: 0.097314, Time: 658.16
Epoch: 50, Train Loss: 0.099736, Val Loss: 0.092525, Time: 657.62
Epoch: 51, Train Loss: 0.100309, Val Loss: 0.102761, Time: 658.74
Epoch: 52, Train Loss: 0.099356, Val Loss: 0.092798, Time: 658.21
Epoch: 53, Train Loss: 0.099648, Val Loss: 0.103032, Time: 658.14
Epoch: 54, Train Loss: 0.099644, Val Loss: 0.095403, Time: 658.45
Epoch: 55, Train Loss: 0.099452, Val Loss: 0.093508, Time: 658.48
Epoch: 56, Train Loss: 0.099532, Val Loss: 0.094516, Time: 658.54
Epoch: 57, Train Loss: 0.099568, Val Loss: 0.094022, Time: 658.68
Epoch: 58, Train Loss: 0.099858, Val Loss: 0.092651, Time: 658.73
Epoch: 59, Train Loss: 0.099653, Val Loss: 0.104671, Time: 658.38
Epoch: 60, Train Loss: 0.098952, Val Loss: 0.098046, Time: 657.55
Epoch: 61, Train Loss: 0.098960, Val Loss: 0.094913, Time: 658.28
Epoch: 62, Train Loss: 0.099026, Val Loss: 0.097285, Time: 658.90
Epoch: 63, Train Loss: 0.099251, Val Loss: 0.099908, Time: 658.59
Epoch: 64, Train Loss: 0.099251, Val Loss: 0.093444, Time: 659.04
Epoch: 65, Train Loss: 0.099189, Val Loss: 0.095070, Time: 658.77
Epoch: 66, Train Loss: 0.099197, Val Loss: 0.101096, Time: 658.62
Epoch: 67, Train Loss: 0.099057, Val Loss: 0.094560, Time: 658.53
Epoch: 68, Train Loss: 0.098962, Val Loss: 0.097705, Time: 658.88
Epoch: 69, Train Loss: 0.099204, Val Loss: 0.118275, Time: 658.24
Epoch: 70, Train Loss: 0.099105, Val Loss: 0.106517, Time: 656.76
Epoch: 71, Train Loss: 0.098955, Val Loss: 0.091622, Time: 658.35
Epoch: 72, Train Loss: 0.098792, Val Loss: 0.091420, Time: 658.16
